time_ms,cpu_usage,queue_length,active_workers
14526,170,21,8
14536,170,22,8
14549,170,22,8
14560,170,23,8
14573,170,23,8
14585,170,24,8
14595,170,24,8
14608,170,25,8
14618,170,25,8
14629,170,26,8
14640,170,26,8
14650,170,27,8
14662,170,27,8
14675,170,27,8
14685,170,27,8
14696,110,25,8
14708,170,21,8
14720,170,22,8
14731,170,22,8
14743,170,23,8
14755,170,23,8
14766,170,24,8
14776,170,24,8
14789,170,25,8
14801,170,25,8
14813,170,26,8
14824,170,26,8
14843,170,27,8
14854,170,28,8
14865,170,28,8
14876,170,28,8
14887,170,28,8
14897,170,26,8
14909,140,22,8
14920,140,23,8
14931,140,23,8
14942,140,24,8
15073,140,25,8
15085,170,24,8
15096,170,21,8
15108,110,18,8
15119,110,19,8
15131,110,19,8
15141,110,20,8
15152,110,20,8
15180,110,20,8
15192,110,21,8
15203,110,21,8
15242,110,23,8
15254,110,23,8
15265,110,24,8
15277,110,24,8
15288,110,24,8
15299,170,21,8
15309,170,20,8
15320,170,18,8
15331,170,19,8
15343,170,19,8
15354,170,20,8
15371,170,20,8
15382,170,21,8
15396,170,22,8
15408,170,22,8
15420,170,23,8
15440,170,23,8
15455,170,24,8
15465,170,25,8
15475,170,25,8
15486,140,25,8
15497,140,25,8
15508,170,21,8
15519,170,19,8
15530,170,19,8
15542,170,20,8
15556,170,20,8
15605,170,21,8
15693,170,23,8
15712,110,18,8
15722,170,16,8
15735,170,16,8
15746,170,17,8
15757,170,17,8
15776,170,18,8
15786,170,18,8
15799,170,19,8
15811,170,20,8
15821,170,20,8
15832,170,21,8
15872,170,21,8
15883,170,22,8
15895,170,22,8
15906,170,19,8
15926,140,16,8
15937,140,16,8
15958,140,17,8
15968,140,18,8
15980,140,18,8
15990,140,19,8
16003,140,19,8
16013,140,20,8
16024,140,20,8
16035,140,21,8
16047,140,21,8
16057,140,22,8
16068,140,22,8
16081,140,23,8
16092,140,23,8
16106,170,20,8
16117,170,20,8
16128,110,17,8
16139,110,18,8
16151,110,18,8
16163,110,19,8
16176,110,19,8
16186,110,20,8
16198,110,20,8
16240,110,21,8
16329,110,22,8
16341,170,15,8
16351,170,15,8
16362,170,16,8
16377,170,17,8
16387,170,17,8
16401,170,18,8
16412,170,18,8
16424,170,19,8
16436,170,19,8
16446,170,20,8
16457,170,20,8
16468,170,21,8
16478,170,21,8
16488,170,22,8
16500,170,22,8
16510,170,22,8
16522,170,23,8
16532,170,23,8
16543,170,16,8
16555,170,16,8
16566,170,17,8
16578,170,17,8
16589,170,18,8
16601,170,18,8
16620,170,19,8
16631,170,20,8
16659,170,20,8
16683,170,21,8
16703,170,22,8
16720,170,23,8
16731,170,23,8
16742,170,16,8
16753,170,17,8
16765,170,17,8
16775,170,18,8
16786,170,18,8
16797,170,18,8
16808,170,19,8
16837,170,20,8
16850,170,20,8
16861,170,21,8
16871,170,21,8
16882,170,22,8
16894,170,22,8
16904,170,23,8
16916,170,23,8
16927,170,24,8
16959,140,16,8
17037,140,18,8
17048,140,18,8
17059,140,19,8
17074,140,20,8
17085,140,20,8
17098,140,21,8
17112,140,21,8
17139,140,22,8
17150,170,20,8
17162,170,17,7
17173,110,16,8
