time_ms,cpu_usage,queue_length,active_workers
12091,100,205,4
12104,100,206,4
12117,100,206,4
12129,100,207,4
12141,100,207,4
12152,100,204,7
12164,90,202,6
12175,90,203,6
12188,90,203,6
12201,90,204,6
12212,90,204,6
12225,90,204,6
12237,90,205,6
12249,90,205,6
12261,90,206,6
12274,90,207,6
12287,90,207,6
12299,90,208,6
12310,90,208,6
12322,90,209,6
12373,90,209,6
12394,100,206,4
12406,100,207,4
12419,100,208,4
12432,100,208,4
12442,100,209,4
12455,100,209,4
12467,100,210,4
12511,100,210,4
12548,100,211,4
12564,100,212,4
12577,100,212,4
12589,60,209,6
12602,90,207,6
12613,90,207,6
12626,90,208,6
12638,90,209,6
12651,90,209,6
12664,90,210,6
12675,90,210,6
12688,90,211,6
12701,90,211,6
12714,90,212,6
12725,90,213,6
12737,90,213,6
12750,90,214,6
12762,90,214,6
12773,90,215,6
12783,70,215,4
12793,80,214,2
12806,100,212,4
12818,100,212,4
12830,100,213,4
12842,100,213,4
12854,100,214,4
12867,100,215,4
12880,100,215,4
12892,100,216,4
12905,100,216,4
12918,100,217,4
12930,100,217,4
12942,100,218,4
12953,100,218,4
12966,100,219,4
12978,100,219,4
12989,100,220,4
13002,100,216,7
13015,90,215,6
13027,90,215,6
13039,90,216,6
13052,90,216,6
13062,90,217,6
13072,90,217,6
13085,90,217,6
13098,90,218,6
13108,90,218,6
13121,90,219,6
13134,90,220,6
13146,90,220,6
13159,90,221,6
13198,90,222,6
13215,100,218,4
13225,100,219,4
13238,100,219,4
13251,100,220,4
13264,100,220,4
13275,100,221,4
13288,100,221,4
13298,100,222,4
13311,100,222,4
13322,100,223,4
13335,100,223,4
13348,100,224,4
13361,100,224,4
13372,100,225,4
13385,100,225,4
13398,100,226,4
13411,100,222,7
13422,90,221,6
13435,90,221,6
13448,90,222,6
13461,90,223,6
13472,90,223,6
13484,90,224,6
13496,90,224,6
13507,90,225,6
13518,90,225,6
13530,90,226,6
13542,90,226,6
13554,90,227,6
13567,90,227,6
13579,90,228,6
13592,90,228,6
13604,90,229,6
13616,90,228,3
13628,100,226,4
13639,100,226,4
13651,100,227,4
13664,100,227,4
13675,100,228,4
13688,100,228,4
13701,100,229,4
13712,100,229,4
13722,100,230,4
13735,100,230,4
13748,100,231,4
13759,100,231,4
13771,100,232,4
13784,100,232,4
13797,100,233,4
13809,100,234,4
13819,100,230,7
13832,90,229,6
13842,90,229,6
13855,90,230,6
13868,90,230,6
13880,90,231,6
13892,90,231,6
13905,90,232,6
13917,90,232,6
13928,90,233,6
13939,90,233,6
13952,90,234,6
13965,90,234,6
13975,90,235,6
13988,90,235,6
14001,90,236,6
14014,90,236,6
14025,90,236,3
14038,100,233,4
14049,100,234,4
14061,100,234,4
14074,100,235,4
14086,100,235,4
14097,100,236,4
14110,100,236,4
14122,100,237,4
14135,100,238,4
14148,100,238,4
14160,100,239,4
14172,100,239,4
14184,100,240,4
14197,100,240,4
14210,100,241,4
14222,100,241,4
14234,60,238,6
14246,90,236,6
14259,90,237,6
14272,90,237,6
14285,90,238,6
14298,90,238,6
14308,90,239,6
14319,90,239,6
14332,90,240,6
14342,90,240,6
14355,90,241,6
14368,90,241,6
14380,90,242,6
14392,90,242,6
14405,90,243,6
14416,90,243,6
14429,90,244,6
14441,90,243,3
14453,100,241,4
14466,100,241,4
14478,100,242,4
14489,100,242,4
14502,100,243,4
14512,100,243,4
14522,100,244,4
14533,100,244,4
14546,100,244,4
14556,100,245,4
14568,100,245,4
14581,100,246,4
14592,100,247,4
14605,100,247,4
14617,100,248,4
14628,100,248,4
14639,70,247,4
14649,90,243,6
14661,90,243,6
14672,90,244,6
14683,90,244,6
14696,90,245,6
14706,90,245,6
14717,90,246,6
14730,90,246,6
14742,90,247,6
14755,90,247,6
14768,90,248,6
14780,90,248,6
14792,90,249,6
14805,90,249,6
14816,90,250,6
14828,90,250,6
14839,90,251,6
14852,90,250,3
14865,100,248,4
14875,100,249,4
14888,100,249,4
14901,100,250,4
14912,100,250,4
14922,100,250,4
14935,100,251,4
14948,100,251,4
14961,100,252,4
14972,100,253,4
14985,100,253,4
14997,100,254,4
15009,100,254,4
15021,100,254,4
15032,100,255,4
15042,100,255,4
15055,100,252,7
15068,90,251,6
15081,90,251,6
15092,90,252,6
15105,90,252,6
15118,90,253,6
15130,90,253,6
15142,90,254,6
15155,90,254,6
15168,90,255,6
15180,90,256,6
15192,90,256,6
15205,90,256,6
15217,90,257,6
15230,90,258,6
15242,90,258,6
15255,80,259,5
15267,100,255,4
15280,100,256,4
15292,100,256,4
15305,100,257,4
15317,100,258,4
15328,100,258,4
15340,100,258,4
15352,100,259,4
15365,100,259,4
15375,100,260,4
15388,100,260,4
15400,100,261,4
15412,100,261,4
15422,100,262,4
15433,100,262,4
15445,100,263,4
15456,100,263,4
15468,100,260,7
15481,90,259,6
15492,90,259,6
15505,90,259,6
15518,90,260,6
15530,90,260,6
15542,90,261,6
15554,90,261,6
15566,90,262,6
15578,90,263,6
15589,90,263,6
15601,90,263,6
15614,90,264,6
15625,90,265,6
15636,90,265,6
15647,90,266,6
15659,90,266,6
15672,80,267,5
15685,100,263,4
15697,100,264,4
15709,100,264,4
15721,100,265,4
15733,100,265,4
15746,100,266,4
15759,100,266,4
15772,100,267,4
15783,100,267,4
15796,100,268,4
15808,100,269,4
15819,100,269,4
15831,100,270,4
15842,100,270,4
15855,100,271,4
15865,100,271,4
15875,100,268,7
15888,100,266,7
15901,90,267,6
15914,90,267,6
15925,90,268,6
15938,90,268,6
15951,90,269,6
15963,90,269,6
15975,90,270,6
15986,90,270,6
15999,90,271,6
16012,90,271,6
16022,90,272,6
16035,90,272,6
16048,90,273,6
16061,90,273,6
16072,90,274,6
16085,80,273,2
16098,100,271,4
16110,100,272,4
16122,100,272,4
16135,100,272,4
16148,100,273,4
16161,100,274,4
16172,100,274,4
16183,100,275,4
16195,100,275,4
16207,100,276,4
16219,100,276,4
16232,100,277,4
16242,100,277,4
16255,100,278,4
16268,100,278,4
16280,100,279,4
16292,70,274,7
16303,90,274,6
16316,90,274,6
16328,90,275,6
16339,90,275,6
16351,90,276,6
16364,90,276,6
16375,90,277,6
16388,90,277,6
16401,90,278,6
16413,90,278,6
16425,90,279,6
16438,90,280,6
16451,90,280,6
16463,90,281,6
16475,90,281,6
16488,80,281,5
16498,80,280,2
16511,100,278,4
16522,100,279,4
16535,100,279,4
16548,100,280,4
16560,100,281,4
16572,100,281,4
16585,100,282,4
16598,100,282,4
16611,100,283,4
16622,100,283,4
16635,100,284,4
16648,100,284,4
16661,100,285,4
16672,100,286,4
16685,100,286,4
16698,100,287,4
16710,70,282,7
16723,90,282,6
16735,90,282,6
16748,90,283,6
16760,90,283,6
16772,90,284,6
16783,90,284,6
16796,90,285,6
16809,90,285,6
16821,90,286,6
16832,90,286,6
16842,90,287,6
16854,90,287,6
16864,90,288,6
16875,90,288,6
16888,90,289,6
16901,90,289,6
16913,80,288,2
16925,100,286,4
16938,100,287,4
16951,100,287,4
16963,100,288,4
16975,100,288,4
16988,100,289,4
17000,100,289,4
17013,100,290,4
17025,100,290,4
17038,100,291,4
17049,100,291,4
17059,100,292,4
17072,100,292,4
17084,100,293,4
17097,100,293,4
17110,100,294,4
17121,90,288,6
17131,90,289,6
17142,90,289,6
17154,90,290,6
17166,90,290,6
17178,90,290,6
17189,90,291,6
17202,90,291,6
17212,90,292,6
17223,90,293,6
17235,90,293,6
17247,90,293,6
17259,90,294,6
17272,90,294,6
17282,90,295,6
17295,90,295,6
17306,90,296,6
17318,90,296,6
17328,100,293,4
17339,100,293,4
17351,100,294,4
17364,100,294,4
17375,100,295,4
17388,100,296,4
17401,100,296,4
17411,100,297,4
17422,100,297,4
17435,100,298,4
17447,100,299,4
17459,100,299,4
17472,100,300,4
17485,100,300,4
17496,100,301,4
17509,100,301,4
17522,100,302,4
17534,90,296,6
17544,90,297,6
17556,90,297,6
17568,90,298,6
17581,90,298,6
17594,90,299,6
17606,90,299,6
17616,90,300,6
17629,90,300,6
17641,90,301,6
17654,90,301,6
17667,90,302,6
17680,90,303,6
17692,90,303,6
17703,90,304,6
17714,90,304,6
17725,70,305,4
17738,100,301,4
17751,100,302,4
17763,100,302,4
17775,100,302,4
17787,100,303,4
17800,100,303,4
17812,100,304,4
17825,100,305,4
17838,100,305,4
17850,100,306,4
17862,100,306,4
17874,100,307,4
17886,100,307,4
17899,100,308,4
17912,100,308,4
17924,100,309,4
17936,40,306,4
17949,90,304,6
17961,90,304,6
17972,90,305,6
17985,90,305,6
17998,90,306,6
18009,90,306,6
18022,90,307,6
18032,90,307,6
18042,90,308,6
18055,90,308,6
18065,90,309,6
18078,90,309,6
18089,90,310,6
18102,90,310,6
18115,90,311,6
18128,90,312,6
18139,100,311,4
18152,100,309,4
18162,100,309,4
18172,100,309,4
18184,100,310,4
18197,100,310,4
18210,100,311,4
18222,100,312,4
18233,100,312,4
18246,100,312,4
18259,100,313,4
18271,100,314,4
18282,100,314,4
18295,100,315,4
18306,100,315,4
18317,100,316,4
18328,100,316,4
18339,80,315,5
18352,100,313,7
18364,90,312,6
18376,90,312,6
18388,90,312,6
18401,90,313,6
18413,90,314,6
18425,90,314,6
18436,90,315,6
18447,90,315,6
18460,90,316,6
18472,90,316,6
18485,90,317,6
18498,90,317,6
18510,90,318,6
18522,90,318,6
18535,90,319,6
18546,100,318,4
18557,80,318,2
18568,100,316,4
18578,100,317,4
18589,100,317,4
18600,100,317,4
18612,100,318,4
18625,100,319,4
18638,100,319,4
18651,100,320,4
18664,100,320,4
18674,100,321,4
18687,100,321,4
18698,100,322,4
18710,100,322,4
18722,100,322,4
18735,100,323,4
18748,100,324,3
18761,100,320,7
18772,90,319,6
18784,90,319,6
18796,90,320,6
18809,90,320,6
18822,90,321,6
18834,90,321,6
18847,90,322,6
18859,90,322,6
18872,90,323,6
18884,90,323,6
18896,90,324,6
18909,90,324,6
18922,90,325,6
18935,90,325,6
18948,90,326,6
18961,80,326,5
18973,100,323,4
18985,100,323,4
18998,100,324,4
19011,100,324,4
19022,100,325,4
19034,100,325,4
19047,100,326,4
19058,100,327,4
19070,100,327,4
19083,100,328,4
19095,100,328,4
19106,100,329,4
19119,100,329,4
19131,100,330,4
19144,100,330,4
19156,100,331,4
19169,100,325,7
19179,90,326,6
19192,90,326,6
19202,90,327,6
19215,90,327,6
19227,90,327,6
19239,90,328,6
19252,90,328,6
19263,90,329,6
19276,90,330,6
19289,90,330,6
19299,90,331,6
19312,90,331,6
19323,90,332,6
19333,90,332,6
19346,90,333,6
19356,90,333,6
19368,100,332,4
19381,100,330,4
19392,100,331,4
19405,100,331,4
19416,100,332,4
19429,100,332,4
19439,100,333,4
